State,County,Income
California,Sutter,47605
California,Tehama,43268
California,Trinity,43471
California,Tulare,42845
California,Tuolumne,48841
California,Ventura,64715
California,Yolo,56123
California,Yuba,43536
Colorado,Adams,45481
Colorado,Alamosa,40076
Colorado,Arapahoe,64477
Colorado,Archuleta,43088
Colorado,Baca,43297
Colorado,Bent,31374
Colorado,Boulder,76527
Colorado,Broomfield,70996
Colorado,Chaffee,49036
Colorado,Cheyenne,55188
Colorado,Clear Creek,61816
Colorado,Conejos,38385
Colorado,Costilla,35621
Colorado,Crowley,20822
Colorado,Custer,42381
Colorado,Delta,39339
Colorado,Denver,81405
Colorado,Dolores,38005
Colorado,Douglas,78455
Colorado,Eagle,84765
Colorado,Elbert,60586
Colorado,El Paso,51117
Colorado,Fremont,36966
Colorado,Garfield,60285
Colorado,Gilpin,50346
Colorado,Grand,51891
Colorado,Gunnison,48853
Colorado,Hinsdale,50294
Colorado,Huerfano,41561
Colorado,Jackson,55715
Colorado,Jefferson,66017
Colorado,Kiowa,54765
Colorado,Kit Carson,45658
Colorado,Lake,37391
Colorado,La Plata,58216
Colorado,Larimer,55884
Colorado,Las Animas,39762
Colorado,Lincoln,30855
Colorado,Logan,46697
Colorado,Mesa,46719
Colorado,Mineral,75044
Colorado,Moffat,43842
Colorado,Montezuma,43542
Colorado,Montrose,41852
Colorado,Morgan,47774
Colorado,Otero,39708
Colorado,Ouray,64076
Colorado,Park,46261
Colorado,Phillips,49259
Colorado,Pitkin,158313
Colorado,Prowers,44623
Colorado,Pueblo,40680
Colorado,Rio Blanco,49846
Colorado,Rio Grande,50408
Colorado,Routt,81699
Colorado,Saguache,37022
Colorado,San Juan,47933
Colorado,San Miguel,90444
Colorado,Sedgwick,48824
Colorado,Summit,71479
Colorado,Teller,51206
Colorado,Washington,43765
Colorado,Weld,50198
Colorado,Yuma,49201
Connecticut,Fairfield,121397
Connecticut,Hartford,65720
Connecticut,Litchfield,65458
Connecticut,Middlesex,69167
Connecticut,New Haven,57748
Connecticut,New London,59717
Connecticut,Tolland,57307
Connecticut,Windham,47618
Delaware,Kent,43097
Delaware,New Castle,59175
Delaware,Sussex,52085
District of Columbia,District of Columbia,83406
Florida,Alachua,46690
Florida,Baker,33254
Florida,Bay,45690
Florida,Bradford,34179
Florida,Brevard,47911
Florida,Broward,52308
Florida,Calhoun,29526
Florida,Charlotte,42793
Florida,Citrus,39055
Florida,Clay,44042
Florida,Collier,99382
Florida,Columbia,35583
Florida,DeSoto,26128
Florida,Dixie,28314
Florida,Duval,47475
Florida,Escambia,44349
Florida,Flagler,47558
Florida,Franklin,37320
Florida,Gadsden,35885
Florida,Gilchrist,34756
Florida,Glades,26102
Florida,Gulf,46346
Florida,Hamilton,27643
Florida,Hardee,29545
Florida,Hendry,33204
Florida,Hernando,38223
Florida,Highlands,34480
Florida,Hillsborough,48452
Florida,Holmes,31822
Florida,Indian River,80818
Florida,Jackson,36014
Florida,Jefferson,41989
Florida,Lafayette,27645
Florida,Lake,43425
Florida,Lee,52064
Florida,Leon,46394
Florida,Levy,37680
Florida,Liberty,25973
Florida,Madison,33859
Florida,Manatee,48618
Florida,Marion,38293
Florida,Martin,85394
Florida,Miami-Dade,54902
Florida,Monroe,101262
Florida,Nassau,61329
Florida,Okaloosa,50681
Florida,Okeechobee,31971
Florida,Orange,46250
Florida,Osceola,35258
Florida,Palm Beach,83268
Florida,Pasco,42070
Florida,Pinellas,55607
Florida,Polk,36649
Florida,Putnam,32949
Florida,St. Johns,70498
Florida,St. Lucie,41125
Florida,Santa Rosa,45981
Florida,Sarasota,66878
Florida,Seminole,51156
Florida,Sumter,48387
Florida,Suwannee,33882
Florida,Taylor,31054
Florida,Union,22440
Florida,Volusia,44180
Florida,Wakulla,37660
Florida,Walton,64481
Florida,Washington,30268
Georgia,Appling,35514
Georgia,Atkinson,31542
Georgia,Bacon,33393
Georgia,Baker,41323
Georgia,Baldwin,34128
Georgia,Banks,35151
Georgia,Barrow,37436
Georgia,Bartow,39505
Georgia,Ben Hill,33228
Georgia,Berrien,32935
Georgia,Bibb,42696
Georgia,Bleckley,35272
Georgia,Brantley,28248
Georgia,Brooks,37655
Georgia,Bryan,53853
Georgia,Bulloch,32724
Georgia,Burke,38481
Georgia,Butts,35017
Georgia,Calhoun,27390
Georgia,Camden,37184
Georgia,Candler,34192
Georgia,Carroll,39147
Georgia,Catoosa,36399
Georgia,Charlton,25020
Georgia,Chatham,48294
Georgia,Chattahoochee,30062
Georgia,Chattooga,31577
Georgia,Cherokee,52953
Georgia,Clarke,34869
Georgia,Clay,35142
Georgia,Clayton,28665
Georgia,Clinch,39136
Georgia,Cobb,59194
Georgia,Coffee,34073
Georgia,Colquitt,34780
Georgia,Columbia,51184
Georgia,Cook,33845
Georgia,Coweta,48424
Georgia,Crawford,34100
Georgia,Crisp,35421
Georgia,Dade,34639
Georgia,Dawson,46278
Georgia,Decatur,38393
Georgia,DeKalb,53086
Georgia,Dodge,31970
Georgia,Dooly,34331
Georgia,Dougherty,37050
Georgia,Douglas,36497
Georgia,Early,40465
Georgia,Echols,28211
Georgia,Effingham,42271
Georgia,Elbert,35550
Georgia,Emanuel,33921
Georgia,Evans,35109
Georgia,Fannin,37385
Georgia,Fayette,67467
Georgia,Floyd,39314
Georgia,Forsyth,63864
Georgia,Franklin,34017
Georgia,Fulton,88832
Georgia,Gilmer,35576
Georgia,Glascock,34786
Georgia,Glynn,48170
Georgia,Gordon,35557
Georgia,Grady,36527
Georgia,Greene,58708
Georgia,Gwinnett,42902
Georgia,Habersham,34831
Georgia,Hall,45576
Georgia,Hancock,31297
Georgia,Haralson,37582
Georgia,Harris,49471
Georgia,Hart,37701
Georgia,Heard,31965
Georgia,Henry,40182
Georgia,Houston,44059
Georgia,Irwin,36036
Georgia,Jackson,43508
Georgia,Jasper,38568
Georgia,Jeff Davis,32069
Georgia,Jefferson,36033
Georgia,Jenkins,31635
Georgia,Johnson,26341
Georgia,Jones,38526
Georgia,Lamar,34375
Georgia,Lanier,28991
Georgia,Laurens,38995
Georgia,Lee,49274
Georgia,Liberty,37424
Georgia,Lincoln,38527
Georgia,Long,27232
Georgia,Lowndes,38706
Georgia,Lumpkin,38450
Georgia,McDuffie,38456
Georgia,McIntosh,30981
Georgia,Macon,32343
Georgia,Madison,36879
Georgia,Marion,29849
Georgia,Meriwether,36050
Georgia,Miller,48011
Georgia,Mitchell,37608
Georgia,Monroe,46563
Georgia,Montgomery,31037
Georgia,Morgan,51677
Georgia,Murray,30964
Georgia,Muscogee,45352
Georgia,Newton,34696
Georgia,Oconee,67845
Georgia,Oglethorpe,36698
Georgia,Paulding,38978
Georgia,Peach,39336
Georgia,Pickens,48493
Georgia,Pierce,37486
Georgia,Pike,41401
Georgia,Polk,34055
Georgia,Pulaski,31603
Georgia,Putnam,44643
Georgia,Quitman,31466
Georgia,Rabun,41058
Georgia,Randolph,35186
Georgia,Richmond,39370
Georgia,Rockdale,36138
Georgia,Schley,33044
Georgia,Screven,35346
Georgia,Seminole,47527
Georgia,Spalding,35740
Georgia,Stephens,39335
Georgia,Stewart,23081
Georgia,Sumter,37936
Georgia,Talbot,35705
Georgia,Taliaferro,37088
Georgia,Tattnall,29106
Georgia,Taylor,32801
Georgia,Telfair,21535
Georgia,Terrell,43654
Georgia,Thomas,46223
Georgia,Tift,39317
Georgia,Toombs,37143
Georgia,Towns,39181
Georgia,Treutlen,29682
Georgia,Troup,37690
Georgia,Turner,36836
Georgia,Twiggs,43163
Georgia,Union,37588
Georgia,Upson,36653
Georgia,Walker,34078
Georgia,Walton,42406
Georgia,Ware,34915
Georgia,Warren,36427
Georgia,Washington,36321
Georgia,Wayne,32633
Georgia,Webster,34700
Georgia,Wheeler,19472
Georgia,White,35238
